27473;# doc = ras_serb.2.txt;;;;;;;;;;;;;;;;
27474;# speaker = Суф;;;;;;;;;;;;;;;;
27475;# sent = 2007;;;;;;;;;;;;;;;;
27498;;это;ЭТОТ;APRO - acc sg plen n -;;;в ведро , _это_ ведро мы положим;о;т;э;;;;APRO;ЭТОТ;A - acc sg plen n -;Т
27499;;ведро;ВЕДРО;S n inan nom sg;;;ведро , это _ведро_ мы положим в;о;р;д;е;в;;S;ВЕДРО;S n inan nom sg;О
27500;;мы;МЫ;SPRO pl 1p - nom;;;, это ведро _мы_ положим в тазик;ы;м;;;;;SPRO;МЫ;SPRO pl 1p - nom;Ы
27501;;положим;ПОЛОЖИТЬ;V pf - pl imper - 1p;;;это ведро мы _положим_ в тазик ,;м;и;ж;о;л;о;V;ПОЛОЖИТЬ;V pf - pl imper - 1p;Ь
27502;;в;В;PR;;;ведро мы положим _в_ тазик , с;в;;;;;;PR;В;PR;В
27503;;тазик;ТАЗИК;S m inan acc sg;;;мы положим в _тазик_ , с этим;к;и;з;а;т;;S;ТАЗИК;S m inan acc sg;К
27504;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27505;;с;С;PR;;;в тазик , _с_ этим тазиком мы;с;;;;;;PR;С;PR;С
27506;;этим;ЭТОТ;APRO - ins sg plen - -;;;тазик , с _этим_ тазиком мы пойдём;м;и;т;э;;;APRO;ЭТОТ;A - dat pl plen - -;Т
27507;;тазиком;ТАЗИК;S m inan ins sg;;;, с этим _тазиком_ мы пойдём в;м;о;к;и;з;а;S;ТАЗИК;S m inan ins sg;К
27508;;мы;МЫ;SPRO pl 1p - nom;;;с этим тазиком _мы_ пойдём в первые;ы;м;;;;;SPRO;МЫ;SPRO pl 1p - nom;Ы
27509;;пойдём;ПОЙТИ;V pf - pl imper - 1p;;;этим тазиком мы _пойдём_ в первые ряды;м;ё;д;й;о;п;V;ПОЙТИ;V pf - pl imper - 1p;И
27510;;в;В;PR;;;тазиком мы пойдём _в_ первые ряды деткорщиков;в;;;;;;PR;В;PR;В
27511;;первые;ПЕРВЫЙ;ANUM - acc pl plen - inan;;;мы пойдём в _первые_ ряды деткорщиков ,;е;ы;в;р;е;п;A;ПЕРВЫЙ;A - acc pl plen - inan;Й
27512;;ряды;РЯД;S m inan acc pl;;;пойдём в первые _ряды_ деткорщиков , то есть;ы;д;я;р;;;S;РЯД;S m inan acc pl;Д
27513;;деткорщиков;ДЕТКОРЩИК;S m anim acc pl;;;в первые ряды _деткорщиков_ , то есть ,;в;о;к;и;щ;р;S;ДЕТКОРЩИК;S m anim acc pl;К
27514;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27515;;то есть;то есть;CONJ;;;ряды деткорщиков , _то есть_ , на концерт;ь;т;с;е; ;о;CONJ;то есть;ADV -;ь
27516;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27517;;на;НА;PR;;;, то есть , _на_ концерт деткора ,;а;н;;;;;PR;НА;PR;А
27518;;концерт;КОНЦЕРТ;S m inan acc sg;;;то есть , на _концерт_ деткора , встанем;т;р;е;ц;н;о;S;КОНЦЕРТ;S m inan acc sg;Т
27519;;деткора;ДЕТКОР;S m inan gen sg;;;, на концерт _деткора_ , встанем около;а;р;о;к;т;е;S;ДЕТКОР;S m inan gen sg;Р
27520;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27521;;встанем;ВСТАТЬ;V pf - pl imper - 1p;;;концерт деткора , _встанем_ около колонки и;м;е;н;а;т;с;V;ВСТАТЬ;V pf - pl imper - 1p;Ь
27522;;около;ОКОЛО;PR;;;деткора , встанем _около_ колонки и будем;о;л;о;к;о;;PR;ОКОЛО;PR;О
27523;;колонки;КОЛОНКА;S f inan gen sg;;;, встанем около _колонки_ и будем брать;и;к;н;о;л;о;S;КОЛОНКА;S f inan gen sg;А
27524;;и;И;CONJ;;;встанем около колонки _и_ будем брать интервью;и;;;;;;CONJ;И;CONJ;И
27525;;будем;БЫТЬ;V ipf - pl imper - 1p;;;около колонки и _будем_ брать интервью шёпотом;м;е;д;у;б;;V;БЫТЬ;V ipf - pl imper - 1p;Ь
27526;;брать;БРАТЬ;V ipf - - inf - -;;;колонки и будем _брать_ интервью шёпотом .;ь;т;а;р;б;;V;БРАТЬ;V ipf - - inf - -;Ь
27527;;интервью;ИНТЕРВЬЮ;S n inan acc sg;;;и будем брать _интервью_ шёпотом . ;ю;ь;в;р;е;т;S;ИНТЕРВЬЮ;S n inan nonflex -;Ю
27528;;шёпотом;ШЕПОТ;ADV -;;;будем брать интервью _шёпотом_ .  ;м;о;т;о;п;ё;S;ШЕПОТ;S m inan ins sg;Т
27529;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
27530;;;;;;;;;;;;;;;;;
27531;# sent = 2009;;;;;;;;;;;;;;;;
27532;;Вот;ВОТ;PART;;;.   _Вот_ примерно такое качество;т;о;в;;;;PART;ВОТ;PART;Т
27533;;примерно;ПРИМЕРНО;ADV -;;;  Вот _примерно_ такое качество звучания;о;н;р;е;м;и;ADV;ПРИМЕРНО;ADV -;О
27534;;такое;ТАКОЙ;APRO - nom sg plen n -;;; Вот примерно _такое_ качество звучания .;е;о;к;а;т;;APRO;ТАКОЙ;A - nom sg plen n -;Й
27535;;качество;КАЧЕСТВО;S n inan nom sg;;;Вот примерно такое _качество_ звучания . ;о;в;т;с;е;ч;S;КАЧЕСТВО;S n inan nom sg;О
27536;;звучания;ЗВУЧАНИЕ;S n inan gen sg;;;примерно такое качество _звучания_ .  ;я;и;н;а;ч;у;S;ЗВУЧАНИЕ;S n inan gen sg;Е
27537;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
27538;;;;;;;;;;;;;;;;;
27539;# sent = 2010;;;;;;;;;;;;;;;;
27540;;Я;Я;SPRO sg 1p - nom;;;.   _Я_ приходил домой ,;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
27541;;приходил;ПРИХОДИТЬ;V ipf praet sg indic m -;;;  Я _приходил_ домой , я;л;и;д;о;х;и;V;ПРИХОДИТЬ;V ipf praet sg indic m -;Ь
27542;;домой;ДОМОЙ;ADV -;;; Я приходил _домой_ , я оде;й;о;м;о;д;;ADV;ДОМОЙ;ADV -;Й
27543;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27544;;я;Я;SPRO sg 1p - nom;;;приходил домой , _я_ оде … ну;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
27545;;оде;ОДА;NONLEX;слитно;;домой , я _оде_ … ну …;е;д;о;;;;S;ОДА;S f inan loc sg;А
27546;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
27547;;ну;НУ;PART;;;я оде … _ну_ … надевал наушнички;у;н;;;;;PART;НУ;PART;У
27548;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
27549;;надевал;НАДЕВАТЬ;V ipf praet sg indic m -;;;… ну … _надевал_ наушнички , динамик;л;а;в;е;д;а;V;НАДЕВАТЬ;V ipf praet sg indic m -;Ь
27550;;наушнички;НАУШНИЧЕК;S m inan acc pl;;;ну … надевал _наушнички_ , динамик выкручивал;и;к;ч;и;н;ш;S;НАУШНИЧОК;S m inan acc pl;К
27551;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27552;;динамик;ДИНАМИК;S m inan nom sg;;;надевал наушнички , _динамик_ выкручивал на сотку;к;и;м;а;н;и;S;ДИНАМИК;S m inan nom sg;К
27553;;выкручивал;ВЫКРУЧИВАТЬ;V ipf praet sg indic m -;;;наушнички , динамик _выкручивал_ на сотку ,;л;а;в;и;ч;у;V;ВЫКРУЧИВАТЬ;V ipf praet sg indic m -;Ь
27554;;на;НА;PR;;;, динамик выкручивал _на_ сотку , там;а;н;;;;;PR;НА;PR;А
27555;;сотку;СОТКА;S f inan acc sg;;;динамик выкручивал на _сотку_ , там что-то;у;к;т;о;с;;S;СОТКА;S f inan acc sg;А
27556;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27557;;там;ТАМ;PART;;;на сотку , _там_ что-то типа :;м;а;т;;;;ADV;ТАМ;ADV -;М
27558;;что-то;ЧТО-ТО;SPRO n inan acc sg;;;сотку , там _что-то_ типа : «;о;т;-;о;т;ч;SPRO;ЧТО-ТО;S n - acc sg;О
27559;;типа;ТИПА;PART;;;, там что-то _типа_ : « Дорогой;а;п;и;т;;;PART;ТИПА;PART;А
27560;;:;:;PUNCT;;;;;;;;;;PUNCT;;;
27561;;«;«;PUNCT;;;;;;;;;;PUNCT;;;
27562;;Дорогой;ДОРОГОЙ;A m anim nom sg;;;типа : « _Дорогой_ Вячеслав Иванович ,;й;о;г;о;р;о;S;ДОРОГОЙ;S m anim nom sg;Й
27563;;Вячеслав;ВЯЧЕСЛАВ;S persn m anim nom sg;;;: « Дорогой _Вячеслав_ Иванович , как;в;а;л;с;е;ч;S;ВЯЧЕСЛАВ;S m anim nom sg;В
27564;;Иванович;ИВАНОВИЧ;S patrn m anim nom sg;;;« Дорогой Вячеслав _Иванович_ , как вы;ч;и;в;о;н;а;S;ИВАНОВИЧ;S m anim nom sg;Ч
27565;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27566;;как;КАК;CONJ;;;Вячеслав Иванович , _как_ вы там …;к;а;к;;;;CONJ;КАК;CONJ;К
27567;;вы;ВЫ;SPRO pl 2p - nom;;;Иванович , как _вы_ там … ;ы;в;;;;;SPRO;ВЫ;SPRO pl 2p - nom;Ы
27568;;там;ТАМ;ADVPRO;;;, как вы _там_ …  ;м;а;т;;;;ADV;ТАМ;ADV -;М
27569;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
27570;;;;;;;;;;;;;;;;;
27571;# sent = 2011;;;;;;;;;;;;;;;;
27572;;Ну;НУ;PART;;;…   _Ну_  ща ;у;н;;;;;PART;НУ;PART;У
27573;"<distinct form=""";;;;;;;;;;;;;;;;
27574;<dist>;ща;;;;;;;;;;;;;;;
27575;""">";;;;;;;;;;;;;;;;
27576;;сейчас;СЕЙЧАС;ADV -;;; ща  _сейчас_  я тебе;с;а;ч;й;е;с;ADV;СЕЙЧАС;ADV -;С
27577;</distinct>;;;;;;;;;;;;;;;;
27578;;я;Я;SPRO sg 1p - nom;;; сейчас  _я_ тебе расскажу как;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
27579;;тебе;ТЫ;SPRO sg 2p - dat;;;сейчас  я _тебе_ расскажу как мы;е;б;е;т;;;SPRO;ТЫ;SPRO sg 2p - dat;Ы
27580;;расскажу;РАССКАЗАТЬ;V pf fut sg indic - 1p;;; я тебе _расскажу_ как мы ,;у;ж;а;к;с;с;V;РАССКАЗАТЬ;V pf fut sg indic - 1p;Ь
27581;;как;КАК;CONJ;;;я тебе расскажу _как_ мы , короче;к;а;к;;;;CONJ;КАК;CONJ;К
27582;;мы;МЫ;SPRO pl 1p - nom;;;тебе расскажу как _мы_ , короче ,;ы;м;;;;;SPRO;МЫ;SPRO pl 1p - nom;Ы
27583;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27584;;короче;КОРОЧЕ;PARENTH;;;как мы , _короче_ , картошку тыбзили;е;ч;о;р;о;к;ADV;КОРОЧЕ;ADV comp;Е
27585;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27586;;картошку;КАРТОШКА;S f inan acc sg;;;, короче , _картошку_ тыбзили » .;у;к;ш;о;т;р;S;КАРТОШКА;S f inan acc sg;А
27587;;тыбзили;ТЫБЗИТЬ;V ipf praet pl indic - -;;;короче , картошку _тыбзили_ » . ;и;л;и;з;б;ы;S;ТЫБЗИЛЯ;S f anim loc sg;Ь
27588;;»;»;PUNCT;;;;;;;;;;PUNCT;;;
27589;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
27590;;;;;;;;;;;;;;;;;
27591;# sent = 2012;;;;;;;;;;;;;;;;
27592;;И;И;CONJ;;;.   _И_ ты такой …;и;;;;;;CONJ;И;CONJ;И
27593;;ты;ТЫ;SPRO sg 2p - nom;;;  И _ты_ такой … ;ы;т;;;;;SPRO;ТЫ;SPRO sg 2p - nom;Ы
27594;;такой;ТАКОЙ;APRO - nom sg plen m -;;; И ты _такой_ …  ;й;о;к;а;т;;APRO;ТАКОЙ;A - nom sg plen m -;Й
27595;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
27596;;;;;;;;;;;;;;;;;
27597;# sent = 2013;;;;;;;;;;;;;;;;
27598;;И;И;CONJ;;;…   _И_ в один момент;и;;;;;;CONJ;И;CONJ;И
27599;;в;В;PR;;;  И _в_ один момент прибегает;в;;;;;;PR;В;PR;В
27600;;один;ОДИН;ANUM - acc sg plen m inan;;; И в _один_ момент прибегает ребёнок;н;и;д;о;;;ANUM;ОДИН;A - acc sg plen m inan;Н
27601;;момент;МОМЕНТ;S m inan acc sg;;;И в один _момент_ прибегает ребёнок и;т;н;е;м;о;м;S;МОМЕНТ;S m inan acc sg;Т
27602;;прибегает;ПРИБЕГАТЬ;V ipf praes sg indic - 3p;;;в один момент _прибегает_ ребёнок и такой;т;е;а;г;е;б;V;ПРИБЕГАТЬ;V ipf praes sg indic - 3p;Ь
27603;;ребёнок;РЕБЕНОК;S m anim nom sg;;;один момент прибегает _ребёнок_ и такой :;к;о;н;ё;б;е;S;РЕБЕНОК;S m anim nom sg;К
27604;;и;И;CONJ;;;момент прибегает ребёнок _и_ такой : «;и;;;;;;CONJ;И;CONJ;И
27605;;такой;ТАКОЙ;APRO - nom sg plen m -;;;прибегает ребёнок и _такой_ : « Аааа;й;о;к;а;т;;APRO;ТАКОЙ;A - nom sg plen m -;Й
27606;;:;:;PUNCT;;;;;;;;;;PUNCT;;;
27607;;«;«;PUNCT;;;;;;;;;;PUNCT;;;
27608;;Аааа;АААА;INTJ;;;такой : « _Аааа_ ! » ;а;а;а;а;;;INTJ;АААА;S m anim nonflex -;А
27609;;!;!;PUNCT;;;;;;;;;;PUNCT;;;
27610;;»;»;PUNCT;;;;;;;;;;PUNCT;;;
27611;;;;;;;;;;;;;;;;;
27612;# sent = 2014;;;;;;;;;;;;;;;;
27613;;А;А;CONJ;;;»   _А_ у меня динамик;а;;;;;;CONJ;А;CONJ;А
27614;;у;У;PR;;;  А _у_ меня динамик на;у;;;;;;PR;У;PR;У
27615;;меня;Я;SPRO sg 1p - acc;;; А у _меня_ динамик на сотку;я;н;е;м;;;SPRO;Я;SPRO sg 1p - acc;Я
27616;;динамик;ДИНАМИК;S m inan nom sg;;;А у меня _динамик_ на сотку ,;к;и;м;а;н;и;S;ДИНАМИК;S m inan nom sg;К
27617;;на;НА;PR;;;у меня динамик _на_ сотку , у;а;н;;;;;PR;НА;PR;А
27618;;сотку;СОТКА;S f inan acc sg;;;меня динамик на _сотку_ , у меня;у;к;т;о;с;;S;СОТКА;S f inan acc sg;А
27619;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27620;;у;У;PR;;;на сотку , _у_ меня просто волосы;у;;;;;;PR;У;PR;У
27621;;меня;Я;SPRO sg 1p - acc;;;сотку , у _меня_ просто волосы ,;я;н;е;м;;;SPRO;Я;SPRO sg 1p - acc;Я
27622;;просто;ПРОСТО;PART;;;, у меня _просто_ волосы , такой;о;т;с;о;р;п;PART;ПРОСТО;PART;О
27623;;волосы;ВОЛОС;S m inan nom pl;;;у меня просто _волосы_ , такой …;ы;с;о;л;о;в;S;ВОЛОС;S m inan nom pl;С
27624;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27625;;такой;ТАКОЙ;APRO - gen sg plen f -;;;просто волосы , _такой_ …  ;й;о;к;а;т;;APRO;ТАКОЙ;A - gen sg plen f -;Й
27626;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
27627;;;;;;;;;;;;;;;;;
27628;# sent = 2015;;;;;;;;;;;;;;;;
27629;;«;«;PUNCT;;;;;;;;;;PUNCT;;;
27630;"<distinct form=""";;;;;;;;;;;;;;;;
27631;<dist>;Чё;;;;;;;;;;;;;;;
27632;""">";;;;;;;;;;;;;;;;
27633;;Что;ЧТО;SPRO n inan nom sg;;; Чё  _Что_  ? ;о;т;ч;;;;SPRO;ЧТО;S n - acc sg;О
27634;</distinct>;;;;;;;;;;;;;;;;
27635;;?;?;PUNCT;;;;;;;;;;PUNCT;;;
27636;;;;;;;;;;;;;;;;;
27637;# sent = 2016;;;;;;;;;;;;;;;;
27638;;Где;ГДЕ;ADV -;;;?   _Где_ пауза ? »;е;д;г;;;;ADV;ГДЕ;ADV -;Е
27639;;пауза;ПАУЗА;S f inan nom sg;;;  Где _пауза_ ? » ;а;з;у;а;п;;S;ПАУЗА;S f inan nom sg;А
27640;;?;?;PUNCT;;;;;;;;;;PUNCT;;;
27641;;»;»;PUNCT;;;;;;;;;;PUNCT;;;
27642;;;;;;;;;;;;;;;;;
27643;# sent = 2017;;;;;;;;;;;;;;;;
27644;# speaker = Суф;;;;;;;;;;;;;;;;
27645;# sent = 2018;;;;;;;;;;;;;;;;
27646;;И;И;CONJ;;;   _И_ тут вот эта;и;;;;;;CONJ;И;CONJ;И
27647;;тут;ТУТ;ADV -;;;  И _тут_ вот эта тётка;т;у;т;;;;ADV;ТУТ;ADV -;Т
27648;;вот;ВОТ;PART;;; И тут _вот_ эта тётка ,;т;о;в;;;;PART;ВОТ;PART;Т
27649;;эта;ЭТОТ;APRO - nom sg plen f -;;;И тут вот _эта_ тётка , которая;а;т;э;;;;APRO;ЭТОТ;A - nom sg plen f -;Т
27650;;тётка;ТЕТКА;S f anim nom sg;;;тут вот эта _тётка_ , которая берёт;а;к;т;ё;т;;S;ТЕТКА;S f anim nom sg;А
27651;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27652;;которая;КОТОРЫЙ;APRO - nom sg plen f -;;;эта тётка , _которая_ берёт , она;я;а;р;о;т;о;APRO;КОТОРЫЙ;A - nom sg plen f -;Й
27653;;берёт;БРАТЬ;V ipf praes sg indic - 3p;;;тётка , которая _берёт_ , она ближе;т;ё;р;е;б;;V;БРАТЬ;V ipf praes sg indic - 3p;Ь
27654;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27655;;она;ОНА;SPRO sg 3p f nom;;;которая берёт , _она_ ближе к диктофону;а;н;о;;;;SPRO;ОНА;SPRO sg 3p f nom;А
27656;;ближе;БЛИЗКО;ADV comp;;;берёт , она _ближе_ к диктофону ,;е;ж;и;л;б;;ADV;БЛИЗКО;ADV comp;О
27657;;к;К;PR;;;, она ближе _к_ диктофону , она;к;;;;;;PR;К;PR;К
27658;;диктофону;ДИКТОФОН;S m inan dat sg;;;она ближе к _диктофону_ , она орёт;у;н;о;ф;о;т;S;ДИКТОФОН;S m inan dat sg;Н
27659;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27660;;она;ОНА;SPRO sg 3p f nom;;;к диктофону , _она_ орёт : «;а;н;о;;;;SPRO;ОНА;SPRO sg 3p f nom;А
27661;;орёт;ОРАТЬ;V ipf praes sg indic - 3p;;;диктофону , она _орёт_ : « Матвей;т;ё;р;о;;;V;ОРАТЬ;V ipf praes sg indic - 3p;Ь
27662;;:;:;PUNCT;;;;;;;;;;PUNCT;;;
27663;;«;«;PUNCT;;;;;;;;;;PUNCT;;;
27664;;Матвей;МАТВЕЙ;S persn m anim nom sg;;;орёт : « _Матвей_ , заткнись !;й;е;в;т;а;м;S;МАТВЕЙ;S m anim nom sg;Й
27665;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27666;;заткнись;ЗАТКНУТЬСЯ;V pf - sg imper - 2p;;;« Матвей , _заткнись_ ! » ;ь;с;и;н;к;т;V;ЗАТКНУТЬСЯ;V pf - sg imper - 2p;Я
27667;;!;!;PUNCT;;;;;;;;;;PUNCT;;;
27668;;»;»;PUNCT;;;;;;;;;;PUNCT;;;
27669;;;;;;;;;;;;;;;;;
27670;# sent = 2019;;;;;;;;;;;;;;;;
27671;;И;И;CONJ;;;»   _И_ мои перепонки просто;и;;;;;;CONJ;И;CONJ;И
27672;;мои;МОЙ;APRO - nom pl plen - -;;;  И _мои_ перепонки просто пуххх;и;о;м;;;;APRO;МОЙ;A - nom pl plen - -;Й
27673;;перепонки;ПЕРЕПОНКА;S f inan nom pl;;; И мои _перепонки_ просто пуххх !;и;к;н;о;п;е;S;ПЕРЕПОНКА;S f inan nom pl;А
27674;;просто;ПРОСТО;PART;;;И мои перепонки _просто_ пуххх ! ;о;т;с;о;р;п;PART;ПРОСТО;PART;О
27675;;пуххх;ПУХХХ;NONLEX;;;мои перепонки просто _пуххх_ !  ;х;х;х;у;п;;NONLEX;ПУХХХ;NONLEX;Х
27676;;!;!;PUNCT;;;;;;;;;;PUNCT;;;
27677;;;;;;;;;;;;;;;;;
27678;# sent = 2020;;;;;;;;;;;;;;;;
27679;;Это;ЭТО;SPRO n - nom sg;;;!   _Это_ вот как в;о;т;э;;;;SPRO;ЭТО;S n - nom sg;О
27680;;вот;ВОТ;PART;;;  Это _вот_ как в мультиках;т;о;в;;;;PART;ВОТ;PART;Т
27681;;как;КАК;CONJ;;; Это вот _как_ в мультиках ,;к;а;к;;;;CONJ;КАК;CONJ;К
27682;;в;В;PR;;;Это вот как _в_ мультиках , ты;в;;;;;;PR;В;PR;В
27683;;мультиках;МУЛЬТИК;S m inan loc pl;;;вот как в _мультиках_ , ты такой;х;а;к;и;т;ь;S;МУЛЬТИК;S m inan loc pl;К
27684;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27685;;ты;ТЫ;SPRO sg 2p - nom;;;в мультиках , _ты_ такой эээ ,;ы;т;;;;;SPRO;ТЫ;SPRO sg 2p - nom;Ы
27686;;такой;ТАКОЙ;APRO - nom sg plen m -;;;мультиках , ты _такой_ эээ , вот;й;о;к;а;т;;APRO;ТАКОЙ;A - nom sg plen m -;Й
27687;;эээ;ЭЭЭ;NONLEX;;;, ты такой _эээ_ , вот это;э;э;э;;;;NONLEX;ЭЭЭ;NONLEX;Э
27688;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27689;;вот;ВОТ;PART;;;такой эээ , _вот_ это было так же;т;о;в;;;;PART;ВОТ;PART;Т
27690;;это;ЭТО;SPRO n - nom sg;;;эээ , вот _это_ было так же .;о;т;э;;;;SPRO;ЭТО;S n - nom sg;О
27691;;было;БЫТЬ;V ipf praet sg indic n -;;;, вот это _было_ так же . ;о;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic n -;Ь
27692;;так же;так же;ADV -;;;вот это было _так же_ .  ;е;ж; ;к;а;т;ADV;так же;ADV -;е
27693;;.;.;PUNCT;;;;;;;;;;PUNCT;;;
27694;;;;;;;;;;;;;;;;;
27695;# sent = 2021;;;;;;;;;;;;;;;;
27696;;Это;ЭТО;SPRO n - nom sg;;;.   _Это_ капец просто …;о;т;э;;;;SPRO;ЭТО;S n - nom sg;О
27697;;капец;КАПЕЦ;PART;;;  Это _капец_ просто … ;ц;е;п;а;к;;S;КАПЕЦ;S m anim nom sg;Ц
27698;;просто;ПРОСТО;PART;;; Это капец _просто_ …  ;о;т;с;о;р;п;PART;ПРОСТО;PART;О
27699;;…;…;PUNCT;;;;;;;;;;PUNCT;;;
27700;;;;;;;;;;;;;;;;;
27701;# sent = 2022;;;;;;;;;;;;;;;;
27702;;Да;ДА;PART;;;…   _Да_ , кстати ,;а;д;;;;;CONJ;ДА;CONJ;А
27703;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27704;;кстати;КСТАТИ;PARENTH;;; Да , _кстати_ , я сделал;и;т;а;т;с;к;ADV;КСТАТИ;ADV -;И
27705;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27706;;я;Я;SPRO sg 1p - nom;;;, кстати , _я_ сделал практику ,;я;;;;;;SPRO;Я;SPRO sg 1p - nom;Я
27707;;сделал;СДЕЛАТЬ;V pf praet sg indic m -;;;кстати , я _сделал_ практику , а;л;а;л;е;д;с;V;СДЕЛАТЬ;V pf praet sg indic m -;Ь
27708;;практику;ПРАКТИКА;S f inan acc sg;;;, я сделал _практику_ , а эта;у;к;и;т;к;а;S;ПРАКТИКА;S f inan acc sg;А
27709;;,;,;PUNCT;;;;;;;;;;PUNCT;;;
27710;;а;А;CONJ;;;сделал практику , _а_ эта тварь мне;а;;;;;;CONJ;А;CONJ;А
27711;;эта;ЭТОТ;APRO - nom sg plen f -;;;практику , а _эта_ тварь мне не;а;т;э;;;;APRO;ЭТОТ;A - nom sg plen f -;Т
27712;;тварь;ТВАРЬ;S f anim nom sg;;;, а эта _тварь_ мне не отдала;ь;р;а;в;т;;S;ТВАРЬ;S f anim nom sg;Ь
